countyID,county,state,fips_num,fips_str,totpop,soc_dist,stay_home,trip_per,oc_trip,os_trip,mile_per,wtrip_per,nwtrip_per,transit_p,d_COVID,d_ILI,test_gap,ctrace_work,hbed_util,icu_util,new_case,new_case_avg,act_case,import_case,exposure,test_done,hbed_avail,icu_avail,vent_need,unempl_claim,unempl_rate,wfh_p,infl_rate,consum_p,above60_p,med_inc,black_p,hisp_p,male_p,popden,emplden,hotspot,death_rate,l_soc_dist,l_stay_home,l_trip_per,l_oc_trip,l_os_trip,l_mile_per,l_wtrip_per,l_nwtrip_per,l_transit_p,l_exposure,l_wfh_p,l_consum_p,workers,lowwage,medwage,hiwage,ret5_den,ret8_den,act_den,network_den,log_soc_dist,log_stay_home,log_trip_per,log_oc_trip,log_os_trip,log_mile_per,log_wtrip_per,log_nwtrip_per,log_transit_p,log_d_COVID,log_new_case,log_new_case_avg,log_import_case,log_exposure,log_test_done,log_med_inc,log_popden,log_emplden,log_hotspot,new_case4,naffect_p4,sh_naffect_p4,case_neighbor,casen_imp,casen_impl,casen_oct,days_EmDec,days_BarRes,days_CaseIsol,days_GathRec,days_GathRes,days_NEBusCl,days_OBusCl,days_PubMask,days_Quartn,days_RestRes,days_SchCl,days_StayHome,days_BarRest_Res
111,autauga county,alabama,1001,01001,55200,30,19,2.94,42.3,.9,32.6,.36,2.57,.11,2,119,7.8,.025,49.17,6.01,180,3.183,1.54,2139,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,-.2,19,58786,19,2.8,48.68,91,19,101,8.24,38,24,2.75,38.6,.5,29.8,.42,2.34,.11,.51,26.4,-9.5,13128,3264,5269,4595,.062702529,.062702529,1.2037618,7.6948004,3.4011974,2.9444389,1.0784096,3.744787,-.10536052,3.4843123,-1.0216513,.94390589,-2.2072749,.69314718,5.1929569,1.1578242,7.6680937,.77932489,3.7957139,10.981659,4.5108705,2.9444916,4.6151204,45,.99918479,18.98451,6.767,14474.613,51.889992,286.24411,79,73,57,,73,,73,31,,73,74,31,73
120,baldwin county,alabama,1003,01003,208107,28,20,2.9,22,11.7,29.9,.32,2.58,.09,11,119,7.8,.025,49.17,6.01,118,.523,1.54,3804,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,-3.6,27,55962,9.4,4.5,48.62,103,42,162,8.24,44,25,2.63,16.7,7.8,23.4,.34,2.29,.09,.51,26.4,-14.6,60036,15385,23839,20812,.076666743,.076666743,1.0268248,6.5481958,3.3322046,2.9957323,1.0647107,3.0910425,2.4595888,3.3978584,-1.1394343,.94778937,-2.4079456,2.3978953,4.7706847,-.64817381,8.2438087,.77932489,3.7957139,10.932428,4.6347389,3.7376933,5.0875964,174,.99916387,19.983276,2.1135,8039.7539,17.42329,46.497002,79,73,57,,73,,73,31,,73,74,31,73
132,barbour county,alabama,1005,01005,25782,21,16,3.26,33.3,14.2,38.4,.41,2.86,.26,7,119,7.8,.025,49.17,6.01,128,4.703,1.54,864,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,1.3,24,34186,47.3,4.3,53.13,29,14,104,8.24,26,18,3.25,28.4,10,33,.45,2.8,.26,.51,26.4,-.9,4921,1336,2334,1251,.039105069,.039105069,.58018935,5.0040526,3.0445225,2.7725887,1.1817272,3.5055573,2.6532419,3.6480575,-.89159811,1.0508217,-1.3470737,1.9459101,4.8520303,1.5482006,6.7615728,.77932489,3.7957139,10.439571,3.3673303,2.6391287,4.6443911,39,.99848729,15.975797,5.660125,4890.3481,38.271347,188.48216,79,73,57,,73,,73,31,,73,74,31,73
202,bibb county,alabama,1007,01007,22527,23,16,3.37,37,.7,41.4,.44,2.93,.47,18,119,7.8,.025,49.17,6.01,34,1.414,1.54,837,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,11.1,22,45340,22.1,2.4,53.94,36,7,81,8.24,30,18,3.09,36.8,.6,34.9,.47,2.62,.47,.51,26.4,-.6,3014,696,1355,963,.0049963631,.0049963631,.21821919,3.9540284,3.1354942,2.7725887,1.2149128,3.6109178,-.35667494,3.7232809,-.82098055,1.0750024,-.75502259,2.8903718,3.5263605,.34642255,6.7298241,.77932489,3.7957139,10.721945,3.5835466,1.946053,4.3944492,43,.99809116,15.969459,2.869833333333334,2402.0505,19.313473,106.18383,79,73,57,,73,,73,31,,73,74,31,73
222,blount county,alabama,1009,01009,57645,24,16,3.14,36.9,.7,41.2,.34,2.8,.15,13,119,7.8,.025,49.17,6.01,25,.438,1.54,1955,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,1.3,24,48695,1.4,9.1,49.33,89,14,88,8.24,31,19,2.95,35.8,.6,36,.38,2.57,.15,.51,26.4,-6.9,10097,2287,4304,3506,.0069426466,.0069426466,.15974449,3.1336534,3.1780539,2.7725887,1.1442229,3.6082115,-.35667494,3.7184381,-1.0788096,1.0296195,-1.89712,2.5649493,3.2188759,-.82553637,7.5781455,.77932489,3.7957139,10.793332,4.4886475,2.6391287,4.4773369,37,.99935812,15.98973,1.953833333333333,3819.7441,14.806434,72.096451,79,73,57,,73,,73,31,,73,74,31,73
311,bullock county,alabama,1011,01011,10352,28,16,3.19,33.2,2.3,64.5,.27,2.92,0,13,119,7.8,.025,49.17,6.01,196,18.939,1.54,310,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,-15.8,24,32152,76.2,.5,54.7,17,5,86,8.24,30,16,3.23,29.6,2,58.6,.23,3,0,.51,26.4,-13.5,425,104,234,87,.0023088763,.0023088763,.047545765,1.5048999,3.3322046,2.7725887,1.1600209,3.5025499,.83290911,4.1666651,-1.3093333,1.0715836,,2.5649493,5.2781148,2.9412234,5.7365723,.77932489,3.7957139,10.37823,2.8332722,1.6096379,4.4543471,14,.99864763,15.978362,3.7444,1160.764,21.480021,124.31408,79,73,57,,73,,73,31,,73,74,31,73
323,butler county,alabama,1013,01013,20025,30,19,2.92,37,6.9,36.1,.37,2.56,0,7,119,7.8,.025,49.17,6.01,358,17.971,1.54,700,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,-5.6,26,39109,45.1,.3,46.78,26,8,121,8.24,39,21,2.81,29.5,3.1,30.4,.35,2.46,0,.51,26.4,-9.1,5186,1541,2415,1230,.026571136,.026571136,.54091018,4.765738,3.4011974,2.9444389,1.0715836,3.6109178,1.9315214,3.586293,-.99425226,.94000727,,1.9459101,5.8805332,2.8887594,6.5510802,.77932489,3.7957139,10.574108,3.2581351,2.0795665,4.7957907,56,.99720347,18.946865,5.776499999999999,4043.55,37.842316,213.7305,79,73,57,,73,,73,31,,73,74,31,73
348,calhoun county,alabama,1015,01015,115098,29,21,3.02,25.2,3.1,32.4,.32,2.7,.32,10,119,7.8,.025,49.17,6.01,67,.5580000000000001,1.54,2492,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,1.2,24,45197,20.5,3.7,48.06,188,72,119,8.24,40,25,2.8,23.4,2.5,24.7,.37,2.43,.32,.51,26.4,-9.1,31127,8343,13361,9423,.075612776,.075612776,1.255638,9.1741419,3.3672957,3.0445225,1.1052568,3.2268441,1.1314021,3.4781585,-1.1394343,.9932518,-1.1394343,2.3025851,4.2046928,-.58339632,7.8208408,.77932489,3.7957139,10.718786,5.2364473,4.27668,4.7791233,95,.99917459,20.982666,.6636,1653.6912,5.1899099,16.722719,79,73,57,,73,,73,31,,73,74,31,73
444,chambers county,alabama,1017,01017,33826,25,19,2.87,42.2,22,44.8,.33,2.55,.19,22,119,7.8,.025,49.17,6.01,67,2.003,1.54,1384,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,.9,25,39872,39.4,2.3,48.06,56,12,94,8.24,33,22,2.66,39.5,19.2,35.3,.38,2.27,.19,.51,26.4,-9.9,7496,1992,3622,1882,.048231512,.048231512,.70106614,6.5005479,3.2188759,2.9444389,1.054312,3.7424202,3.0910425,3.8022082,-1.1086626,.93609333,-1.6607312,3.0910425,4.2046928,.69464606,7.2327332,.77932489,3.7957139,10.59343,4.0253696,2.4849899,4.5432949,296,.99124932,18.833736,2.1418,2964.2512,15.491068,90.383957,79,73,57,,73,,73,31,,73,74,31,73
472,cherokee county,alabama,1019,01019,25853,18,15,3.17,38.5,17.3,38.7,.38,2.79,.23,7,119,7.8,.025,49.17,6.01,22,.832,1.54,1089,2.18,44.51,3.79,.33,90,157,9.9,31.6,-.7,7.8,29,41014,4.9,1.5,49.59,43,10,103,8.24,26,18,2.91,35.2,15.6,33,.41,2.5,.23,.51,26.4,-3.2,4103,1032,1929,1142,.015688857,.015688857,.23219247,3.7283545,2.8903718,2.7080503,1.1537316,3.6506581,2.8507066,3.6558397,-.96758401,1.0260416,-1.469676,1.9459101,3.0910425,-.18392284,6.9930153,.77932489,3.7957139,10.621669,3.7612233,2.302685,4.6347289,16,.99938112,14.990717,1.064,1158.696,7.4405684,40.964001,79,73,57,,73,,73,31,,73,74,31,73
